source_dataset,technique,report_generated,sku_id,category,current_stock,lead_time_days,unit_cost,avg_daily_demand,ma_7day,ma_30day,volatility,demand_std,safety_stock,reorder_point,stockout_risk,recommended_order_qty
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000014,Toys,527,24,21.86,26.33,13.14,23.0,0.7214,19.0,153.57,785.57,High,259
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000015,Apparel,420,21,51.3,29.97,32.0,27.7,0.4063,12.18,92.07,721.37,Medium,302
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000016,Home & Living,731,11,491.05,13.79,18.43,14.93,0.5243,7.23,39.56,191.24,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000017,Electronics,560,13,149.69,20.0,16.29,19.63,0.2292,4.58,27.27,287.27,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000018,Home & Living,653,10,165.19,15.18,12.14,14.03,0.4463,6.77,35.34,187.12,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000019,Seasonal,20,17,45.88,19.54,16.43,19.23,1.1339,22.16,150.77,483.03,Critical,464
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000020,Apparel,1940,19,131.2,30.8,23.43,26.77,0.4307,13.26,95.4,680.6,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000021,Groceries,1424,5,8.65,39.57,39.43,40.1,0.174,6.88,25.39,223.23,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000022,Beauty,1708,3,73.37,32.84,36.29,29.37,0.517,16.98,48.52,147.06,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000023,Groceries,2927,5,13.59,39.56,32.29,38.73,0.1837,7.27,26.81,224.59,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000024,Apparel,799,13,71.1,27.57,25.14,25.47,0.3999,11.02,65.58,423.94,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000025,Apparel,989,15,89.08,32.97,24.29,27.5,0.4351,14.35,91.67,586.17,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000026,Electronics,891,14,818.09,20.24,22.29,20.8,0.2463,4.99,30.78,314.2,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000027,Groceries,1710,4,18.9,37.99,40.71,38.6,0.2083,7.91,26.11,178.07,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000028,Beauty,1500,8,7.97,34.09,22.71,32.3,0.4256,14.51,67.7,340.41,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000029,Apparel,211,10,20.61,30.09,17.71,25.1,0.4076,12.27,64.0,364.89,Medium,154
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000030,Apparel,29,9,96.26,29.17,28.43,28.73,0.4063,11.85,58.66,321.16,Critical,293
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000031,Electronics,20,9,1542.94,19.94,19.43,19.77,0.233,4.65,23.01,202.51,Critical,183
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000032,Home & Living,218,14,248.82,15.59,11.14,17.17,0.4467,6.96,42.99,261.24,Medium,44
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000033,Toys,1638,8,46.36,22.44,26.29,27.43,0.9761,21.91,102.24,281.8,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000034,Electronics,262,8,177.19,20.13,16.86,20.13,0.2653,5.34,24.92,185.99,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000035,Electronics,834,4,1760.77,20.33,21.86,20.8,0.2194,4.46,14.72,96.06,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000036,Apparel,1783,19,33.26,31.28,26.57,28.0,0.3745,11.71,84.25,678.53,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000037,Groceries,1842,2,32.54,40.94,45.43,41.5,0.1813,7.42,17.32,99.21,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000038,Groceries,2686,2,36.71,40.09,39.57,39.17,0.2048,8.21,19.15,99.33,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000039,Seasonal,499,28,22.42,16.09,10.0,13.53,1.138,18.31,159.85,610.34,High,112
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000040,Apparel,1257,10,50.21,29.92,29.0,27.93,0.4242,12.69,66.22,365.45,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000041,Home & Living,623,20,106.45,14.83,16.14,15.07,0.5232,7.76,57.27,353.93,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000042,Groceries,520,3,35.85,40.03,43.43,38.2,0.1653,6.62,18.92,139.02,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000043,Apparel,257,11,121.6,28.57,28.57,26.53,0.4993,14.26,78.05,392.28,Medium,136
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000044,Beauty,1545,10,78.9,35.12,29.0,30.93,0.4174,14.66,76.48,427.71,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000045,Apparel,1722,20,51.83,30.21,22.43,26.3,0.4336,13.1,96.65,700.87,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000046,Electronics,886,5,318.27,20.14,17.14,19.7,0.2479,4.99,18.42,119.15,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000047,Electronics,370,8,586.92,20.54,22.14,20.63,0.2207,4.53,21.16,185.52,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000048,Home & Living,1183,16,467.14,13.44,12.0,12.63,0.5239,7.04,46.49,261.6,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000049,Home & Living,918,11,129.16,15.3,17.29,13.73,0.4356,6.66,36.47,204.77,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000050,Electronics,1456,7,268.01,19.68,20.86,19.63,0.2008,3.95,17.25,154.99,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000051,Beauty,2072,8,17.11,35.72,26.29,31.43,0.3969,14.18,66.16,351.94,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000052,Groceries,1995,3,7.54,40.71,41.71,40.8,0.2018,8.22,23.48,145.62,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000053,Groceries,3095,2,27.47,40.72,45.29,40.03,0.1872,7.62,17.79,99.24,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000054,Apparel,337,7,125.33,30.67,27.86,30.67,0.4082,12.52,54.64,269.31,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000055,Groceries,2126,4,38.8,40.12,41.43,40.73,0.2018,8.1,26.72,187.21,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000056,Apparel,96,8,60.85,31.86,29.43,30.83,0.4259,13.57,63.31,318.16,Critical,223
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000057,Electronics,740,12,795.13,20.0,18.57,20.33,0.2469,4.94,28.22,268.22,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000058,Apparel,1289,20,142.28,31.44,23.0,28.83,0.4154,13.06,96.39,725.28,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000059,Apparel,2275,16,18.56,32.98,23.43,30.07,0.4272,14.09,92.98,620.62,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000060,Electronics,978,8,526.76,20.37,19.57,20.5,0.2365,4.82,22.48,185.41,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000061,Seasonal,1060,44,29.58,22.56,20.14,20.2,0.9914,22.36,244.74,1237.19,High,178
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000062,Apparel,1196,18,139.19,27.82,14.29,24.3,0.5093,14.17,99.19,599.99,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000063,Groceries,1711,4,17.31,39.8,43.29,38.93,0.1867,7.43,24.52,183.72,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000064,Toys,432,9,72.56,23.98,5.14,21.6,0.9155,21.95,108.66,324.46,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000065,Groceries,1986,3,14.97,39.71,35.57,38.03,0.2096,8.33,23.79,142.93,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000066,Groceries,2096,1,46.3,41.09,41.14,41.47,0.1691,6.95,11.46,52.55,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000067,Home & Living,1063,6,196.49,13.63,11.57,13.9,0.5528,7.54,30.46,112.26,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000068,Toys,348,8,64.58,21.77,22.71,20.2,0.8805,19.17,89.44,263.58,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000069,Groceries,2429,5,46.48,40.48,41.43,41.43,0.208,8.42,31.07,233.46,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000070,Beauty,147,9,29.68,36.68,27.0,32.13,0.4073,14.94,73.94,404.04,Critical,258
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000071,Apparel,911,16,102.54,29.38,25.86,27.63,0.4185,12.29,81.14,551.18,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000072,Apparel,970,8,40.74,30.3,19.0,25.17,0.4856,14.71,68.67,311.07,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000073,Apparel,1192,14,50.26,29.8,24.29,28.33,0.396,11.8,72.86,490.06,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000074,Electronics,890,3,1956.38,19.78,18.14,20.03,0.2413,4.77,13.64,72.97,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000075,Toys,1275,29,46.37,21.26,12.0,22.73,0.8666,18.42,163.67,780.08,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000076,Electronics,1745,7,1860.54,20.53,16.43,19.63,0.2278,4.68,20.42,164.15,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000077,Groceries,2565,3,5.95,41.38,38.29,41.83,0.1552,6.42,18.35,142.49,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000078,Electronics,772,10,1232.09,19.79,20.57,19.23,0.2307,4.57,23.82,221.71,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000079,Apparel,1444,11,69.86,28.88,25.0,26.23,0.3695,10.67,58.4,376.06,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000080,Apparel,1495,17,87.87,28.76,21.57,23.3,0.4826,13.88,94.42,583.26,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000081,Electronics,495,10,1389.27,19.06,20.71,18.93,0.221,4.21,21.98,212.53,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000082,Apparel,1258,19,45.38,32.26,27.71,29.33,0.4644,14.98,107.74,720.6,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000083,Home & Living,954,18,322.09,14.9,10.71,14.7,0.516,7.69,53.82,322.02,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000084,Electronics,739,7,1119.26,19.97,19.14,19.13,0.2244,4.48,19.56,159.33,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000085,Groceries,1889,2,33.67,38.54,38.43,38.8,0.203,7.82,18.26,95.35,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000086,Home & Living,186,8,16.53,15.5,14.86,17.1,0.5131,7.95,37.11,161.11,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000087,Groceries,2554,2,34.76,38.12,36.57,38.9,0.1752,6.68,15.58,91.83,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000088,Toys,1902,24,12.59,24.08,22.86,27.93,1.0148,24.43,197.5,775.37,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000089,Electronics,357,10,1114.96,19.83,19.71,20.03,0.2225,4.41,23.02,221.35,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000090,Electronics,147,9,1194.98,20.97,21.29,21.83,0.2536,5.32,26.32,215.02,Medium,69
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000091,Apparel,559,8,44.55,29.4,18.57,23.83,0.447,13.14,61.33,296.53,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000092,Toys,1292,16,29.54,25.33,18.71,28.5,0.8453,21.41,141.33,546.66,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000093,Beauty,1083,4,40.53,33.84,24.14,27.93,0.5071,17.16,56.63,192.01,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000094,Beauty,163,4,77.59,32.61,22.71,27.83,0.3982,12.99,42.85,173.3,Medium,11
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000095,Home & Living,660,16,94.95,14.34,16.14,14.53,0.4564,6.55,43.21,272.72,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000096,Toys,273,29,53.97,24.82,19.29,26.43,0.8146,20.22,179.67,899.52,Critical,627
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000097,Beauty,1596,3,43.97,33.97,27.0,33.6,0.4706,15.98,45.68,147.58,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000098,Home & Living,132,7,93.83,14.69,16.71,15.97,0.4967,7.3,31.85,134.67,Medium,3
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000099,Beauty,1892,6,11.09,33.79,36.57,31.23,0.5088,17.19,69.48,272.21,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000100,Toys,1391,19,73.63,22.43,19.29,21.23,0.9976,22.38,160.96,587.2,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000101,Toys,42,23,58.45,20.99,20.86,21.97,0.798,16.75,132.54,615.28,Critical,574
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000102,Apparel,1507,19,119.46,27.9,26.86,23.33,0.4737,13.22,95.06,625.16,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000103,Apparel,368,19,89.15,30.66,21.29,25.2,0.4273,13.1,94.22,676.68,Medium,309
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000104,Electronics,912,3,637.6,20.28,21.86,20.97,0.2179,4.42,12.63,73.46,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000105,Groceries,533,4,42.82,41.01,43.14,41.53,0.1801,7.39,24.38,188.42,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000106,Groceries,2051,5,45.91,39.43,45.0,39.87,0.1881,7.42,27.37,224.53,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000107,Home & Living,175,8,440.61,15.88,16.71,15.1,0.4057,6.44,30.07,157.09,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000108,Home & Living,748,9,480.57,16.26,15.29,16.1,0.4734,7.7,38.09,184.39,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000109,Groceries,1819,3,40.76,39.54,39.0,40.57,0.1999,7.91,22.59,141.23,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000110,Home & Living,121,10,155.28,15.17,11.43,15.4,0.4613,7.0,36.51,188.17,Medium,68
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000111,Seasonal,920,15,24.72,15.86,19.57,16.7,1.3307,21.1,134.83,372.66,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000112,Groceries,2094,3,2.26,40.27,39.43,41.87,0.2063,8.31,23.74,144.54,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000113,Seasonal,991,25,19.51,19.07,11.43,18.13,1.1288,21.52,177.55,654.22,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000114,Electronics,923,4,624.48,20.06,18.43,18.73,0.2347,4.71,15.54,95.76,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000115,Beauty,1511,4,86.16,35.97,29.71,31.23,0.3828,13.77,45.43,189.3,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000116,Home & Living,1113,13,197.34,15.68,15.43,15.63,0.5466,8.57,50.98,254.79,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000117,Home & Living,296,12,66.49,14.1,12.57,13.1,0.4787,6.75,38.58,207.78,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000118,Seasonal,673,33,42.81,17.71,7.0,13.3,1.2326,21.83,206.92,791.39,High,119
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000119,Electronics,861,7,340.39,20.5,20.0,20.07,0.2286,4.69,20.46,163.96,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000120,Groceries,1181,1,27.4,40.71,36.71,40.7,0.1825,7.43,12.26,52.97,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000121,Seasonal,935,17,31.69,19.08,23.0,19.2,1.0676,20.37,138.56,462.88,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000122,Home & Living,344,17,447.83,14.97,15.57,16.13,0.555,8.31,56.51,310.94,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000123,Groceries,1604,1,13.35,40.11,39.43,39.63,0.171,6.86,11.31,51.43,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000124,Home & Living,298,7,378.3,15.69,19.14,16.1,0.5101,8.0,34.93,144.76,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000125,Apparel,118,13,76.0,29.58,29.86,26.37,0.4601,13.61,80.96,465.47,Critical,348
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000126,Apparel,377,10,132.33,31.46,25.0,28.97,0.4063,12.78,66.69,381.24,Medium,5
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000127,Home & Living,819,9,448.36,15.76,19.57,14.47,0.4678,7.37,36.48,178.28,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000128,Home & Living,459,13,252.36,15.82,17.86,16.3,0.4862,7.69,45.77,251.46,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000129,Home & Living,301,17,340.46,13.67,13.0,15.03,0.5146,7.03,47.85,280.18,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000130,Home & Living,1384,6,318.6,15.38,14.86,15.03,0.5224,8.03,32.47,124.73,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000131,Toys,374,23,9.44,22.01,17.29,20.7,0.9191,20.23,160.08,666.34,High,293
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000132,Electronics,1006,3,207.6,20.12,20.71,19.43,0.1935,3.89,11.13,71.5,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000133,Toys,24,25,47.79,23.93,10.43,24.2,0.8609,20.6,169.99,768.32,Critical,745
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000134,Electronics,509,9,117.88,19.58,20.43,19.27,0.2444,4.79,23.69,199.89,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000135,Toys,774,29,45.28,22.78,12.29,23.47,0.877,19.98,177.49,838.05,High,65
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000136,Electronics,1438,5,1985.97,19.97,17.43,18.77,0.2458,4.91,18.1,117.94,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000137,Toys,939,10,26.46,21.84,25.57,27.63,0.7639,16.69,87.06,305.51,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000138,Home & Living,519,19,220.52,15.73,12.71,15.07,0.4134,6.5,46.78,345.72,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000139,Apparel,1276,8,136.45,30.39,25.14,27.3,0.4116,12.51,58.38,301.49,Low,0
